,Company Name,Industry,Symbol,Series,ISIN Code,BSE_CODES
178,Phillips Carbon Black Ltd.,CHEMICALS,PHILIPCARB,EQ,INE602A01023,506590
179,Poly Medicure Ltd.,PHARMA,POLYMED,EQ,INE205C01021,531768
180,Polyplex Corporation Ltd.,INDUSTRIAL MANUFACTURING,POLYPLEX,EQ,INE633B01018,524051
181,Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,EQ,INE074A01025,522205
182,Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,PRSMJOHNSN,EQ,INE010A01011,500338
183,Procter & Gamble Health Ltd.,PHARMA,PGHL,EQ,INE199A01012,533081
184,Quess Corp Ltd.,SERVICES,QUESS,EQ,INE615P01015,539978
185,RITES Ltd.,SERVICES,RITES,EQ,INE320J01015,541556
186,Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028,532497
187,Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,EQ,INE415G01027,542649
188,Rain Industries Ltd,CHEMICALS,RAIN,EQ,INE855B01025,500339
189,Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020,500355
190,Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,EQ,INE027A01015,524230
191,Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI,EQ,INE703B01027,520111
192,Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014,500330
193,Redington (India) Ltd.,SERVICES,REDINGTON,EQ,INE891D01026,532805
194,SIS Ltd.,SERVICES,SIS,EQ,INE285J01028,540673
195,Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,SCHNEIDER,EQ,INE839M01018,534139
196,Sequent Scientific Ltd.,PHARMA,SEQUENT,EQ,INE807F01027,512529
197,Shilpa Medicare Ltd.,PHARMA,SHILPAMED,EQ,INE790G01031,530549
198,Shipping Corporation of India Ltd.,SERVICES,SCI,EQ,INE109A01011,523598
199,Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP,EQ,INE498B01024,532638
200,Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015,532784
201,Solara Active Pharma Sciences Ltd.,PHARMA,SOLARA,EQ,INE624Z01016,541540
202,Sonata Software Ltd.,IT,SONATSOFTW,EQ,INE269A01021,532221
203,South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023,532218
204,Spicejet Ltd.,SERVICES,SPICEJET,EQ,INE285B01017,500285
205,Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT,EQ,INE460H01021,540575
206,Sterling And Wilson Solar Ltd.,CONSTRUCTION,SWSOLAR,EQ,INE00M201021,542760
207,Sterlite Technologies Ltd.,TELECOM,STLTECH,EQ,INE089C01029,532374
208,Strides Pharma Science Ltd.,PHARMA,STAR,EQ,INE939A01011,532531
209,Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM,EQ,INE659A01023,506655
210,Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,EQ,INE232I01014,532872
211,Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01034,512179
212,Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT,EQ,INE399C01030,532509
213,Supreme Petrochem Ltd.,CHEMICALS,SUPPETRO,EQ,INE663A01017,500405
214,Suven Pharmaceuticals Ltd.,PHARMA,SUVENPHAR,EQ,INE03QK01018,543064
215,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021,532667
216,Swan Energy Ltd.,CONSTRUCTION,SWANENERGY,EQ,INE665A01038,503310
217,Swaraj Engines Ltd.,INDUSTRIAL MANUFACTURING,SWARAJENG,EQ,INE277A01016,500407
218,TCI Express Ltd.,SERVICES,TCIEXP,EQ,INE586V01016,540212
219,TCNS Clothing Co. Ltd.,TEXTILES,TCNSBRANDS,EQ,INE778U01029,541700
220,TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,EQ,INE038F01029,532515
221,TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST,EQ,INE886H01027,532800
222,Tasty Bite Eatables Ltd.,CONSUMER GOODS,TASTYBITE,EQ,INE488B01017,519091
223,Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE,EQ,INE493A01027,532301
224,Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012,500408
225,Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,EQ,INE672A01018,501301
226,Tata Steel BSL Ltd.,METALS,TATASTLBSL,EQ,INE824B01021,500055
227,Teamlease Services Ltd.,SERVICES,TEAMLEASE,EQ,INE985S01024,539658
228,Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,EQ,INE594H01019,539871
229,Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,EQ,INE325A01013,522113
230,Trident Ltd.,TEXTILES,TRIDENT,EQ,INE064C01022,521064
231,UCO Bank,FINANCIAL SERVICES,UCOBANK,EQ,INE691A01018,532505
232,UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX,EQ,INE516A01017,500148
233,Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012,539874
234,Ujjivan Small Finance Bank Ltd.,FINANCIAL SERVICES,UJJIVANSFB,EQ,INE551W01018,542904
235,V-Mart Retail Ltd.,CONSUMER GOODS,VMART,EQ,INE665J01013,534976
236,V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027,507880
237,VRL Logistics Ltd.,SERVICES,VRLLOG,EQ,INE366I01010,539118
238,VST Industries Ltd.,CONSUMER GOODS,VSTIND,EQ,INE710A01016,509966
239,Vaibhav Global Ltd.,CONSUMER GOODS,VAIBHAVGBL,EQ,INE884A01019,532156
240,Vakrangee Ltd.,IT,VAKRANGEE,EQ,INE051B01021,511431
241,Vardhman Textiles Ltd.,TEXTILES,VTL,EQ,INE825A01012,502986
242,Varroc Engineering Ltd.,AUTOMOBILE,VARROC,EQ,INE665L01035,541578
243,Venky's (India) Ltd.,CONSUMER GOODS,VENKEYS,EQ,INE398A01010,523261
244,Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025,532144
245,Welspun India Ltd.,TEXTILES,WELSPUNIND,EQ,INE192B01031,514162
246,Westlife Development Ltd.,SERVICES,WESTLIFE,EQ,INE274F01020,505533
247,Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025,532300
248,Zensar Technolgies Ltd.,IT,ZENSARTECH,EQ,INE520A01027,504067
249,eClerx Services Ltd.,IT,ECLERX,EQ,INE738I01010,532927
