,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
1995-06-12,,631.0,,,,,,,,,,,,57.0,,650.0,,,,,790.0,586.0,2335.0,,241.0,,,,,,263.0,327.0,,,335.0,,,,,,197.5,273.0,,568.0,233.5,,138.0,,,
2009-02-04,368.65,772.85,394.75,454.7,57.2,153.35,387.95,633.7,1369.35,195.1,,854.0,436.55,237.3,204.7,1285.95,122.15,896.4,,877.5,44.3,267.75,1442.45,389.6,180.95,439.75,32.55,1282.95,199.2,271.35,653.65,282.85,602.0,176.7,1469.85,665.55,85.7,,,517.9,1096.9,1046.65,499.05,135.25,179.15,230.7,803.85,,411.25,223.95
2005-06-15,,394.2,232.0,,252.55,,369.35,239.75,902.1,287.85,,1091.65,737.4,319.6,221.05,1118.3,379.55,591.3,,547.55,1134.0,149.2,816.3,432.55,1564.25,450.05,71.65,2258.05,284.8,384.95,1142.1,551.05,437.35,83.8,710.15,936.3,,,,342.1,689.0,564.25,1271.9,421.8,339.6,,365.85,,328.0,734.7
2016-07-19,220.3,1027.15,564.0,2750.25,8651.4,2496.7,572.05,364.3,2762.3,505.7,318.95,1156.1,3581.35,19696.0,385.3,4769.5,730.45,1218.05,,3229.4,137.85,895.15,1338.4,269.15,248.5,493.35,1107.05,1086.3,1623.25,777.5,1573.25,1454.8,4486.4,156.1,6634.7,221.15,166.45,,,16195.5,229.7,782.2,2461.55,498.15,370.25,506.45,412.9,,3505.9,549.4
2016-11-23,263.5,942.5,480.45,2595.75,848.45,2926.35,634.15,300.35,2963.1,552.2,303.8,1176.95,3127.75,20910.55,412.3,810.4,762.75,1184.9,,3012.85,173.5,830.5,1225.95,265.0,224.55,297.8,1064.45,920.5,1650.75,764.15,1357.85,1193.25,4881.55,159.95,5962.8,279.4,181.85,,,14945.75,258.75,701.05,2156.7,471.4,392.35,451.6,312.45,,3451.3,448.15
2000-07-26,,445.5,40.0,,34.0,,,,673.7,711.1,,,1105.1,32.2,55.5,239.35,1042.0,244.6,,1000.15,800.45,240.1,500.4,200.05,731.7,159.3,18.1,6608.25,6.1,62.2,188.2,183.2,,,498.3,139.55,,,,25.0,194.0,603.95,,103.55,115.8,,66.85,,,2415.9
1998-01-06,,301.0,,,31.0,,430.0,,405.0,637.5,,,333.5,13.5,128.0,342.25,,78.75,,912.75,779.75,1410.0,3118.0,43.25,619.0,725.0,,1283.25,5.6,29.5,208.0,323.5,,,288.0,275.5,,,,17.75,248.5,244.0,,294.75,141.0,,67.25,,,489.5
1998-07-24,,279.9,,,,,,,632.0,797.0,,,484.5,,85.15,242.9,,62.0,,901.75,617.25,1644.75,2699.5,36.05,639.0,450.25,28.15,2469.5,4.15,22.55,209.0,168.2,,,417.0,170.2,,,,,202.0,295.5,,126.2,104.7,,38.05,,,1720.25
2008-11-03,357.8,949.15,602.3,498.3,71.9,122.7,,687.65,1177.3,175.75,,1224.0,403.3,236.85,222.55,1101.2,174.45,1070.8,,725.4,63.5,237.8,1891.65,430.95,158.6,351.3,42.4,1378.5,312.0,369.8,892.25,384.05,601.8,151.2,1449.7,710.7,72.05,,,418.3,1240.55,1106.25,548.7,190.9,225.25,336.75,991.05,,354.9,276.25
2016-12-09,285.75,941.65,456.3,2719.55,895.45,3000.55,635.25,331.0,3036.25,579.3,307.2,1160.65,3186.45,22849.0,429.05,878.7,801.25,1198.1,,3281.15,181.55,844.8,1267.1,268.35,235.8,302.7,1111.9,987.35,1646.4,745.15,1361.45,1189.1,5235.8,164.1,6369.45,306.9,184.55,,,15204.75,266.0,673.0,2193.45,464.05,430.3,472.15,326.55,,3576.1,458.7
2000-08-04,,275.45,37.3,,33.5,,,,679.5,717.9,,,1148.4,27.65,50.4,279.1,946.65,251.25,,943.1,826.8,245.2,506.45,206.5,764.15,137.1,17.2,6288.0,6.5,69.3,208.2,168.9,,,491.9,125.0,,,,26.0,202.5,597.1,,92.65,113.25,,50.45,,,2278.5
1992-02-17,,340.0,,,,,,,,,,,,,,370.0,,,,,390.0,245.0,1350.0,,,,,,,,195.0,100.0,,,285.0,,,,,,,,,345.0,312.0,,,,,350.0
2002-01-29,,274.55,29.7,,39.85,,,,587.5,1110.1,,,949.85,33.4,67.85,279.95,230.25,226.35,,302.2,700.0,221.4,633.55,88.8,704.35,135.2,10.35,3767.15,2.05,67.05,192.55,113.25,,,500.0,143.2,,,,44.35,210.05,627.0,,119.3,95.6,,35.5,,,1558.8
1996-09-23,,356.5,,,50.25,,,,218.0,401.75,,,251.0,36.0,,418.25,,36.5,,250.0,699.5,825.25,2395.25,,294.0,,,665.75,6.3,84.5,241.0,328.25,,,241.0,230.0,,,,28.75,261.25,250.0,,462.5,171.75,,117.75,,,
1999-08-30,,415.0,18.6,,35.2,,,,1525.0,2794.75,,,1234.0,39.25,79.9,445.25,,90.0,,1396.0,897.0,2690.0,263.95,35.0,1032.0,439.8,34.9,5588.9,7.9,38.8,399.0,406.0,,,641.95,230.1,,,,64.7,244.3,747.2,,316.25,171.1,,92.15,,,5397.1
2010-03-04,714.35,1963.7,1121.65,1894.1,319.85,339.55,534.95,293.1,1740.75,318.6,,649.9,1156.4,652.95,400.1,2789.65,362.4,1781.45,,1794.9,169.25,242.15,2587.7,897.95,245.6,305.05,159.55,2623.4,1159.9,772.95,1585.45,1075.85,1459.5,206.95,2631.0,1095.25,108.8,,,2218.3,2032.65,1581.35,761.55,811.65,617.45,918.35,1865.65,,1092.0,693.45
2019-10-10,399.95,1778.45,672.9,2888.0,3948.45,8201.45,489.8,377.4,3037.45,422.25,184.5,1668.9,2633.45,18060.05,127.4,696.15,1063.65,1199.95,,2601.95,182.35,1967.5,1987.75,423.7,242.95,148.1,1228.95,782.9,213.8,1585.85,1425.35,566.55,6610.15,117.1,13839.85,125.4,199.15,,,18291.05,254.05,386.95,2004.4,116.9,329.7,710.85,1235.0,,3980.55,239.15
2002-09-16,,343.1,35.1,,50.0,,,34.1,529.0,939.25,,,852.95,69.8,62.0,315.5,202.75,214.3,,275.25,579.95,179.85,594.6,142.6,668.0,213.8,17.45,3560.6,3.6,149.95,181.05,87.6,,,557.0,342.95,,,,45.35,229.8,575.05,,136.3,120.3,,62.75,,,1296.75
2009-01-07,352.15,889.55,522.15,407.1,64.3,172.15,366.65,649.1,1292.2,185.55,,1289.4,464.6,223.6,198.7,1336.35,110.25,1011.05,,773.95,54.65,251.45,1628.1,468.05,168.25,421.15,38.2,1187.1,237.3,363.8,775.55,300.65,564.9,171.2,1429.25,690.2,77.5,,,508.3,1238.7,1041.4,503.7,172.65,233.65,252.4,898.55,,410.15,243.3
1991-09-17,,258.75,,,,,,,190.0,,,,,,,333.75,,,,,352.5,153.75,,,340.0,,,,,,147.5,88.75,,,200.0,,,,,,,,,333.75,237.0,,,,,320.0
2001-02-14,,274.8,41.55,,30.3,,181.85,,808.2,1192.3,,,1308.6,30.45,61.0,333.9,613.4,264.55,,811.35,826.6,207.0,570.85,188.55,806.7,178.2,21.6,6361.9,6.8,81.4,268.0,169.8,,,533.0,156.85,,,,79.65,244.15,595.65,,100.35,158.6,,81.7,,,2901.25
1995-05-22,,635.0,,,129.0,,,,,500.0,,,310.0,54.0,,650.0,,,,217.5,870.0,572.0,2185.0,,248.0,,,520.0,13.0,215.0,264.5,308.0,,,352.0,,,,,62.5,175.0,265.0,,508.0,207.0,,132.0,,,
1999-03-11,,251.5,15.0,,35.35,,202.6,,1222.0,1473.5,,,785.0,13.75,59.0,163.1,,54.05,,785.0,391.25,2154.5,2451.5,27.35,980.0,317.25,19.5,3201.0,2.8,18.5,225.6,255.0,,,540.0,122.4,,,,19.05,205.0,337.0,,185.2,114.2,,79.15,,,3591.0
2006-02-03,,665.4,328.75,,506.05,,,367.5,1510.9,483.65,,1728.35,1160.05,209.5,289.5,1526.35,593.8,732.0,,849.0,163.3,190.3,1304.85,570.6,152.55,524.9,52.4,2787.15,185.25,231.1,2200.95,557.25,729.6,117.8,998.85,1161.55,,,,545.0,857.15,768.15,1631.15,718.15,400.75,,680.7,,537.5,515.7
2014-04-04,179.95,531.55,1429.15,2033.1,1763.0,779.95,443.65,316.25,857.75,404.1,282.0,1350.4,2645.9,6050.75,362.6,2813.0,1397.45,725.8,,2250.1,137.65,604.25,895.1,1230.35,345.1,281.5,502.1,3315.5,1066.5,755.3,1277.1,997.35,1927.15,120.55,4836.1,325.6,106.55,,,5657.45,1904.25,571.9,2139.55,405.1,401.9,1812.8,269.95,,2150.5,553.25
2010-06-24,710.6,2457.65,1262.95,2404.9,475.0,419.1,,263.3,1865.35,340.45,,763.2,1458.05,905.7,475.2,1799.45,358.85,2001.55,,2055.25,150.75,270.8,3015.95,884.85,305.25,341.8,199.5,2817.9,1054.9,762.15,1787.1,632.45,1384.25,194.9,2930.75,1188.55,101.45,,,2015.9,2356.35,1805.45,775.0,784.95,498.05,739.95,2238.45,,944.6,401.6
2003-07-17,,397.25,72.85,,53.55,,268.25,39.5,541.95,811.55,,520.5,1183.65,160.55,110.15,513.85,160.75,273.55,,240.9,789.75,157.5,400.65,159.2,750.75,406.15,22.45,3453.8,11.07,178.3,270.1,179.35,171.4,,545.4,477.1,,,,80.2,417.4,355.1,,216.95,194.7,,67.1,,,938.9
1998-06-18,,244.2,,,24.6,,,,555.0,745.0,,,387.5,10.0,93.0,300.0,,62.0,,954.75,667.25,1556.25,2758.25,36.75,659.0,505.25,32.6,2124.0,4.95,27.5,236.8,206.8,,,370.0,195.1,,,,18.05,220.0,246.8,,190.7,127.0,,41.5,,,1702.75
2018-07-27,394.25,1433.25,553.65,2678.05,2708.4,6919.55,397.15,364.45,6383.6,634.1,261.95,1101.05,2081.9,28963.8,377.9,1024.5,963.7,2203.4,,3193.8,213.8,1657.55,2044.45,293.3,302.2,165.1,1975.8,1374.55,323.1,1311.0,1311.4,909.75,9315.45,154.65,10295.8,161.3,179.6,,,17129.3,286.6,556.95,1943.1,267.7,549.45,645.15,883.9,,4124.35,274.5
1997-02-25,,280.0,,,43.5,,,,255.0,544.75,,,171.5,25.0,,396.5,,44.75,,311.5,730.75,867.75,2774.5,,388.75,,,924.75,6.0,59.0,232.0,350.0,,,232.0,180.0,,,,,274.0,242.0,,336.25,181.75,,70.0,,,355.0
2002-07-11,,359.5,40.05,,58.7,,280.7,32.45,523.5,935.8,,,976.45,82.5,77.45,340.4,224.5,210.3,,323.75,693.4,194.0,620.55,147.4,700.85,199.2,18.0,3301.65,6.35,171.5,180.6,112.8,,,508.8,330.15,,,,51.6,234.8,549.55,,157.55,141.5,,85.55,,,1302.05
2012-03-01,145.65,3152.75,1150.85,1777.05,774.1,634.55,661.35,346.0,524.85,315.45,333.45,742.95,1666.7,1736.9,373.3,2747.35,482.45,514.15,,1940.8,150.65,380.15,669.65,884.35,206.7,278.8,310.2,2848.8,779.6,553.7,1278.0,681.65,1314.55,176.25,4395.25,287.85,112.4,,,2886.8,2219.75,548.85,1221.25,267.65,462.15,596.55,228.9,,1412.75,424.65
2011-03-07,131.9,2502.75,1284.3,1361.55,624.85,515.4,,323.95,346.55,305.3,340.95,615.2,1609.5,1055.65,443.95,2295.05,453.45,2177.35,,1529.9,209.65,281.45,665.45,1007.7,172.55,306.55,241.45,3037.7,919.6,415.0,1567.55,660.3,1264.7,179.6,3751.95,263.9,98.0,,,1730.0,2622.8,416.25,1108.75,1127.25,602.85,676.7,3400.45,,1005.35,446.2
1996-12-23,,295.0,,,44.5,,298.0,,228.0,481.75,,,162.0,25.85,,422.5,,39.25,,,647.5,812.0,2271.25,,303.0,,,765.0,5.95,69.75,218.5,335.0,,,211.25,160.75,,,,22.25,225.25,230.0,,339.0,163.25,,83.5,,,
2018-11-28,365.3,1323.65,627.65,2603.2,2411.2,5812.05,321.45,314.5,5968.0,515.0,247.85,1480.2,2570.4,23134.35,339.4,843.15,1043.75,2084.65,,2992.25,216.25,1730.8,1926.3,359.05,282.05,134.0,1614.0,666.35,308.1,1160.9,1403.6,748.35,7565.5,143.5,10702.05,142.65,184.05,,,15974.25,284.15,486.35,1976.55,174.35,524.0,698.35,920.55,,4004.8,310.4
2008-10-10,346.6,965.7,552.3,459.9,70.8,196.3,337.8,691.3,1202.5,194.0,,1077.9,436.15,188.15,233.3,1476.9,171.0,1046.35,,816.4,80.65,222.05,1719.2,364.1,163.75,355.8,42.95,1226.7,296.8,442.15,889.15,465.2,679.85,165.55,1527.95,915.85,89.4,,,482.35,1352.15,1303.9,523.0,291.45,287.5,396.45,822.8,,446.55,263.45
1991-07-11,,240.0,,,,,,,160.0,,,,,,,255.0,,,,,300.0,181.25,,,198.0,,,,,,110.0,63.75,,,165.0,,,,,,,,,250.0,208.5,,,,,260.0
2000-09-12,,252.3,40.0,,34.0,,,,629.8,768.45,,,1380.15,25.2,47.0,242.4,1250.55,239.65,,930.9,846.85,254.05,517.9,188.7,833.45,142.35,21.6,8847.0,6.4,83.3,204.7,212.1,,,500.55,116.05,,,,26.0,212.95,554.05,,96.1,109.75,,58.7,,,3271.45
2019-06-11,426.05,1426.25,814.95,2990.4,3547.5,8282.0,387.05,363.1,2981.7,560.1,258.75,1559.05,2603.8,20095.6,306.1,890.4,1107.45,2449.35,,2775.9,199.5,1841.75,2190.35,421.45,280.0,162.3,1587.25,754.85,273.3,1507.5,1524.7,638.2,6973.0,135.25,11641.3,169.0,193.1,,,20806.0,347.35,389.8,2252.85,170.65,492.8,761.9,1280.6,,4579.7,297.9
2014-09-12,293.35,670.55,416.95,2346.1,2592.3,1077.05,,413.15,1385.7,612.55,357.95,1756.3,2961.05,12044.75,462.55,3629.5,1623.2,855.35,,2756.9,168.6,757.0,1049.75,1564.95,355.85,400.3,631.4,3672.35,1346.75,1069.1,1578.85,1388.95,2971.15,137.95,6400.15,429.15,135.1,,,8730.35,2625.6,805.9,2605.85,516.5,517.05,2444.25,387.25,,2640.25,574.75
1992-12-18,,285.0,,,,,,,215.0,,,,,32.5,,455.0,,,,,680.0,352.5,1185.0,,457.5,,,,,,182.5,110.0,,,305.0,,,,,,,,,237.5,215.0,,,,,
1996-10-16,,318.25,,,45.5,,,,229.75,396.5,,,212.0,31.0,,425.0,,35.0,,259.0,573.5,793.75,2227.75,,310.0,,,670.0,5.8,77.0,210.75,318.75,,,222.5,157.5,,,,,208.5,215.0,,418.5,170.5,,105.25,,,
1994-12-05,,550.0,,,,,,,322.5,,,,,57.5,,745.0,,,,,1150.0,627.5,2700.0,,390.0,,,,,,270.0,355.0,,,390.0,,,,,,,,,510.0,278.75,,,,,925.0
2001-03-28,,245.1,26.75,,,,187.05,,687.85,1041.4,,,1293.1,24.1,49.9,265.35,437.2,229.55,,150.25,787.75,220.2,576.75,175.0,839.25,165.15,15.1,4715.6,5.0,57.9,230.1,127.25,,,525.5,132.0,,,,37.05,212.45,590.55,,70.3,131.55,,43.5,,,1493.9
2020-02-27,353.5,1844.35,735.65,2937.4,4760.0,9407.55,444.05,531.8,3036.35,421.45,174.05,2158.95,3068.65,17054.45,107.4,713.45,574.15,1199.35,,2111.2,168.35,2252.85,2273.65,514.95,197.5,105.65,1115.6,777.6,252.05,1683.3,1209.85,493.4,6285.9,109.05,16261.55,93.3,187.15,,,23808.7,321.95,388.4,2103.9,145.0,412.8,809.8,1280.0,,4320.5,231.6
2019-04-05,387.0,1514.75,761.95,2860.8,3108.55,7416.25,358.15,356.6,2994.65,534.0,234.45,1719.55,2755.75,20961.9,348.9,848.5,1093.2,2301.75,,2617.05,215.0,1659.7,2056.45,390.5,294.65,158.15,1764.45,756.25,294.85,1334.85,1373.55,658.05,7106.7,134.45,11001.2,156.45,196.3,,,19057.6,317.0,462.7,2051.45,205.75,548.35,779.2,1107.4,,4186.55,262.15
2003-07-22,,396.25,72.55,,52.15,,,44.2,537.75,774.55,,525.2,1140.8,161.5,106.6,492.2,154.35,268.95,,239.7,793.05,151.15,408.0,150.25,723.0,393.6,22.85,3347.35,10.1,180.85,264.25,164.9,167.8,,544.45,451.75,,,,80.0,394.3,346.1,,208.15,186.0,,65.55,,,901.25
2017-08-24,379.95,1136.35,505.6,2734.45,1761.65,5503.8,508.15,432.85,4217.55,573.4,241.2,673.1,2087.9,30806.75,383.05,1132.7,867.35,1765.55,,3874.5,232.45,1178.95,1755.9,297.9,281.5,428.1,1671.95,912.5,245.95,973.65,1131.3,1375.8,7601.95,169.15,6594.65,159.35,219.95,,,17004.0,280.45,483.3,2495.3,384.0,638.95,427.95,607.35,,3938.35,289.6
2015-03-26,304.9,794.05,544.1,2001.75,3963.0,1373.8,763.7,398.7,2189.85,701.15,352.65,1804.35,3449.2,15584.75,381.8,3549.3,986.5,1007.15,,2608.05,129.7,865.5,1283.2,307.55,322.65,349.6,862.3,2144.45,883.85,1307.4,1636.0,1203.35,3566.25,143.85,6859.2,303.8,145.05,,,11112.5,256.9,1028.15,2513.35,526.15,315.75,651.15,389.6,,2797.8,633.9
1993-06-14,,282.5,,,,,,,235.0,,,,,25.0,,382.5,,,,,675.0,387.5,1510.0,,491.25,,,,,,185.0,150.0,,,292.5,,,,,,,,,195.0,165.0,,,,,232.5
2000-10-26,,236.9,38.35,,,,,,755.75,899.0,,,1418.7,24.1,47.45,202.8,1153.75,242.3,,968.6,743.65,174.6,464.55,118.8,769.5,121.5,17.15,7149.6,5.95,76.95,158.5,130.25,,,515.05,107.7,,,,,159.75,509.2,,72.7,100.65,,53.65,,,2300.75
2009-06-15,631.55,1157.35,716.45,997.95,159.4,400.0,430.45,818.5,1588.6,254.55,,1128.0,710.5,308.1,282.65,2396.05,199.8,1529.9,,1432.1,95.85,260.2,2288.55,733.5,197.3,562.45,70.2,1720.35,670.55,658.15,1507.1,756.0,1064.35,221.55,1799.4,1123.1,122.15,,,1170.3,1642.0,1279.3,778.6,342.35,434.05,700.95,1193.15,,728.05,401.75
2016-01-22,221.7,869.5,424.1,2317.6,5823.4,1902.15,883.45,298.85,2617.85,583.35,299.95,1081.6,2883.15,16464.95,367.45,3449.15,839.4,1030.3,,2586.05,72.35,772.65,1157.85,232.75,308.65,406.25,897.75,1135.9,1066.15,682.95,1142.0,1191.45,4107.35,137.95,5452.35,216.45,133.2,,,9965.1,184.3,790.05,2295.25,339.35,247.1,513.8,347.9,,2718.9,550.3
2009-02-06,375.15,791.35,402.7,455.05,57.1,149.15,391.2,647.4,1400.6,191.15,,821.05,459.3,221.4,205.35,1413.35,125.85,898.55,,879.45,44.1,260.9,1412.7,406.95,182.5,443.4,33.2,1287.2,210.55,265.8,638.7,274.15,579.35,180.3,1470.9,681.05,86.45,,,516.45,1118.35,1058.85,502.25,137.6,186.15,231.95,814.65,,416.6,223.95
1993-03-16,,282.5,,,,,,,230.0,,,,,23.75,,452.5,,,,,690.0,387.5,1365.0,,510.0,,,,,,176.25,131.25,,,342.5,,,,,,,,,255.0,165.0,,,,,235.0
2019-07-31,377.55,1521.25,674.4,2517.5,3250.9,7100.9,345.4,337.8,2604.0,520.95,204.5,1634.05,2574.6,16350.15,128.75,788.1,1034.55,2251.8,,2356.2,190.7,1725.95,2121.7,424.5,270.05,139.3,1413.0,794.0,237.25,1519.1,1387.15,550.25,5472.15,126.5,11671.7,138.9,211.0,,,20157.25,332.05,426.75,2205.4,135.6,431.9,636.55,1056.15,,4342.7,265.35
2002-12-17,,330.0,44.15,,47.6,,210.85,23.4,511.15,865.1,,,818.4,79.15,68.5,282.2,183.25,215.35,,267.3,575.25,180.0,359.25,143.15,658.45,232.85,15.95,4572.75,4.0,160.8,195.6,103.55,,,516.05,356.5,,,,52.05,281.4,577.75,,157.8,137.55,,73.2,,,1617.15
1993-03-31,,290.0,,,,,,,210.0,,,,,22.5,,425.0,,,,,685.0,370.0,1230.0,,466.25,,,,,,177.5,140.0,,,300.0,,,,,,,,,240.0,135.0,,,,,210.0
2005-08-02,,460.9,276.85,,299.85,,,286.2,1010.0,337.9,,1267.85,845.95,307.45,236.2,1176.45,430.4,668.55,,629.05,1289.65,171.25,928.15,520.1,1669.15,429.35,75.15,2299.95,266.8,429.55,1244.1,677.95,498.4,98.95,804.95,957.25,,,,383.8,803.65,616.6,1291.4,526.9,373.45,,535.65,,390.1,724.4
1992-09-25,,,,,,,,,,,,,,45.0,,,,,,,,,1775.0,,,,,,,,257.5,,,,,,,,,,,,,,,,,,,360.0
2020-10-14,349.3,2071.3,470.9,3053.1,3371.5,6097.75,332.95,413.35,3791.05,781.4,110.55,3128.7,5121.0,2254.55,82.75,764.35,890.1,1210.85,572.4,3310.1,174.4,2158.2,1978.75,406.8,167.85,74.7,622.75,1136.1,290.65,1354.25,915.0,623.85,7006.5,79.1,15669.4,67.0,157.0,,810.95,21128.35,200.05,502.0,2809.8,130.7,375.55,848.9,1223.35,,4448.9,350.15
1993-03-05,,282.5,,,,,,,235.0,,,,,27.5,,442.5,,,,,680.0,366.25,1460.0,,500.0,,,,,,173.75,127.5,,,341.25,,,,,,,,,246.25,175.0,,,,,
2011-07-15,156.65,3175.5,1267.9,1418.8,716.75,545.6,670.3,392.6,480.1,324.0,365.6,821.0,1596.45,1313.2,446.1,2162.3,496.6,509.0,,1829.0,176.6,329.5,693.45,1060.05,201.3,336.8,278.85,2730.55,860.7,488.7,1818.0,718.85,1174.5,189.15,4391.6,278.15,110.2,,,1810.75,2470.95,505.8,1148.05,1036.15,573.3,743.9,226.1,,996.1,414.6
2010-09-06,788.55,2849.8,1395.9,3004.6,696.55,512.55,762.3,343.6,2088.25,309.95,,761.4,1426.75,1268.85,467.5,2114.1,404.4,2205.75,,1702.9,178.55,271.45,634.85,1037.7,165.65,425.1,234.95,2831.5,1196.55,833.95,1833.6,633.45,1303.2,196.65,3217.9,1350.1,108.0,,,1952.1,2858.75,1732.35,853.1,1034.75,575.6,704.1,3028.25,,922.25,404.65
2017-04-25,331.55,1097.05,515.15,2896.4,1341.85,4521.75,739.25,354.15,3476.5,552.85,278.35,646.75,2645.7,26089.65,411.6,1179.6,819.45,1536.2,,3305.7,191.7,924.05,1548.4,272.55,281.2,436.4,1452.3,929.0,194.6,898.2,1745.95,1307.5,6342.05,165.7,6325.25,181.5,207.95,,,19081.5,286.0,642.5,2311.3,445.6,453.95,437.65,482.9,,4234.8,494.55
2012-02-10,142.7,3099.6,1117.05,1736.55,810.55,507.55,598.4,349.9,493.95,349.0,331.6,754.5,1619.85,1771.2,385.75,2827.2,468.4,516.2,,1969.7,153.0,387.75,693.25,928.2,203.2,275.9,319.3,2782.7,816.65,545.9,1350.4,691.05,1245.25,179.85,4269.95,281.45,107.2,,,2400.2,2172.5,541.3,1230.55,257.1,475.0,650.3,206.85,,1378.75,448.1
1999-07-12,,362.9,17.3,,33.15,,,,1305.0,1785.0,,,864.9,39.85,68.55,346.6,,81.7,,1186.2,915.0,2400.0,2550.0,42.0,1074.0,442.05,23.45,4169.85,5.0,27.25,366.5,348.5,,,557.0,162.15,,,,45.35,291.5,477.2,,279.3,172.9,,101.7,,,4218.0
1999-11-11,,397.0,16.3,,33.55,,,,840.0,1302.0,,,1169.0,51.45,80.0,462.5,,93.5,,1210.0,824.0,2375.0,249.25,35.0,763.0,282.5,27.5,7970.0,7.2,60.55,408.5,378.5,,,515.0,222.0,,,,56.0,234.0,1221.7,,228.0,141.1,,99.85,,,1144.0
2001-09-12,,268.8,26.15,,27.0,,,,569.0,1232.45,,,1874.8,19.5,50.0,269.95,212.9,220.95,,176.7,660.35,205.75,669.15,100.35,674.3,128.55,11.05,3179.35,2.6,37.3,191.55,64.0,,,526.15,137.7,,,,32.25,179.7,571.65,,69.95,81.05,,32.65,,,1460.8
1993-11-13,,325.0,,,,,,,320.0,,,,,21.0,,477.5,,,,,655.0,472.5,2130.0,,567.5,,,,,,202.5,222.5,,,300.0,,,,,,,,,282.5,168.0,,,,,300.0
2011-08-12,136.7,3218.9,1208.9,1457.3,703.5,501.15,,389.3,471.2,293.25,385.3,762.4,1484.5,1343.5,448.1,2104.35,407.85,468.25,,1890.8,150.85,315.65,670.0,939.8,198.3,323.5,254.9,2374.45,655.95,457.85,1643.2,740.3,1246.9,175.15,4133.15,279.3,103.65,,,1730.35,2193.45,477.6,951.2,801.1,476.35,734.75,211.1,,1017.6,343.0
1997-08-20,,334.25,,,37.0,,,,326.5,754.25,,,307.75,19.8,180.0,365.0,,69.5,,623.75,991.25,1441.75,3477.25,,544.0,,,1213.5,6.85,61.0,262.5,459.0,,,280.25,374.5,,,,20.5,320.5,331.5,,366.25,205.25,,76.75,,,1245.0
2008-10-07,414.65,1050.2,680.15,580.75,96.9,292.9,373.5,749.05,1306.65,214.85,,1210.75,449.7,214.1,259.5,1618.35,197.0,1127.7,,870.55,94.8,249.1,1955.25,485.2,174.55,392.5,50.2,1304.1,310.6,436.4,1008.1,473.0,671.0,175.9,1641.05,992.35,90.7,,,499.7,1408.0,1349.75,575.8,316.6,357.35,512.75,963.0,,461.55,306.6
1992-09-08,,280.0,,,,,,,360.0,,,,,45.0,,541.25,,,,,710.0,345.0,2640.0,,600.0,,,,,,247.5,157.5,,,305.0,,,,,,,,,355.0,371.25,,,,,
2015-12-10,246.8,858.95,449.8,2441.45,5533.6,1918.0,902.4,312.55,2864.6,635.2,310.9,1106.9,2994.55,16032.05,343.1,3716.35,845.95,1060.6,,2545.6,75.75,816.05,1181.1,258.65,321.3,415.7,930.8,1046.4,959.85,677.4,1310.5,1291.05,4496.7,133.45,5775.75,219.65,130.65,,,10630.75,231.95,756.55,2380.75,389.3,232.95,538.15,362.7,,2813.8,565.4
2006-06-30,,597.05,266.75,,409.9,,334.5,370.0,1207.0,215.8,,1303.6,1274.0,237.65,254.8,1933.25,502.1,791.15,,791.5,174.95,229.1,1130.0,487.4,182.25,400.0,33.95,3077.55,275.15,242.7,2243.1,621.15,797.6,111.05,996.15,1108.05,,,,776.35,727.4,790.75,1735.65,794.45,533.3,,595.3,,749.95,513.75
2015-05-25,343.2,762.3,562.05,2301.85,4499.85,1478.1,,400.0,2499.85,660.0,369.75,1818.6,3584.95,19173.0,386.25,3572.6,997.3,1023.45,,2586.85,135.2,852.2,1252.8,312.15,317.65,348.5,854.45,2018.0,906.0,1372.25,1629.15,1257.2,3691.4,134.4,6944.6,329.3,142.65,,,11726.35,277.7,1002.0,2601.4,505.2,332.75,648.2,370.85,,2937.8,562.95
1999-12-03,,390.0,18.5,,34.2,,,,800.1,1544.45,,,1115.0,43.7,79.3,408.0,,142.25,,1090.0,835.0,2420.0,290.7,41.85,707.0,299.4,28.75,9275.0,6.15,105.5,397.0,389.0,,,511.25,221.75,,,,51.75,245.3,1665.0,,226.5,141.25,,130.4,,,1335.0
2006-03-02,,674.3,345.1,,573.0,,,396.4,1671.05,551.0,,1797.35,1312.5,250.3,281.15,1808.6,618.4,756.8,,899.65,158.85,243.65,1355.85,620.15,176.85,563.9,49.35,2852.8,225.2,246.7,2474.5,610.0,903.8,132.25,1154.55,1148.3,,,,763.7,894.25,786.1,1742.0,863.2,449.85,,817.5,,575.15,530.8
1995-01-04,,520.0,,,,,,,320.0,,,,,60.0,,765.0,,,,,1110.0,580.0,2490.0,,377.5,,,,,,257.5,350.0,,,395.0,,,,,,,255.0,,517.5,252.5,,,,,
