,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2014-06-06,257.55,506.35,1974.0,2045.9,2137.2,944.9,627.6,355.8,884.85,395.55,391.0,1270.4,2349.25,7194.6,420.35,3317.4,1327.85,814.95,,2682.65,168.9,638.4,935.1,1481.75,336.95,373.2,544.45,2999.8,1285.75,903.0,1688.7,1229.65,2393.3,165.4,4901.55,464.0,127.8,,,7627.95,2732.15,599.35,2084.05,438.55,560.25,1905.85,326.55,,2661.55,507.65
1999-03-01,,265.1,14.2,,34.8,,,,1208.5,1279.0,,,662.25,13.5,56.85,147.2,,51.95,,757.5,422.5,2051.75,2659.0,27.5,880.0,281.2,23.5,3158.25,3.0,18.05,206.3,245.0,,,507.0,130.3,,,,19.15,160.0,327.0,,177.0,117.9,,80.3,,,3825.0
2005-03-03,,360.1,228.25,,158.0,,410.2,235.1,930.3,268.4,,1064.85,722.35,318.35,244.8,1361.3,336.05,577.0,,563.6,1374.75,150.4,772.85,396.7,1345.4,473.35,55.95,2218.05,,367.65,1100.3,554.05,473.6,93.9,624.9,889.5,,,,342.4,717.4,484.8,1387.8,479.0,430.55,,217.5,,362.9,697.45
2004-04-08,,305.0,158.1,,79.25,,,167.55,602.85,1179.15,,1488.95,956.25,216.1,238.05,1135.65,278.4,380.8,,513.3,1334.1,148.55,664.1,292.25,1090.9,526.1,41.25,5312.7,9.25,395.6,608.5,476.8,535.45,,634.6,887.45,,,,150.0,623.05,701.8,,502.4,400.45,,112.05,,,1464.8
2002-03-15,,313.4,40.0,,51.5,,,41.8,545.5,1014.95,,,1067.1,47.1,76.55,299.9,275.75,235.7,,375.1,759.55,237.9,670.25,129.25,710.55,180.25,16.65,4005.5,2.0,149.65,191.85,117.55,,,505.4,249.3,,,,41.55,233.35,652.0,,129.65,100.0,,53.65,,,1761.25
1999-10-21,,404.0,18.0,,37.0,,305.5,,843.35,1615.0,,,1307.45,57.5,95.25,516.0,,98.0,,1255.0,840.0,2350.0,340.0,36.6,767.1,287.45,34.85,7380.0,8.25,55.25,426.1,380.0,,,594.6,255.0,,,,59.25,250.75,1288.55,,281.0,147.5,,108.5,,,1280.0
2013-10-07,144.3,463.25,1069.15,2126.95,1260.1,627.25,,322.55,846.5,439.8,300.1,1047.8,2384.6,3760.6,334.95,2675.25,1116.9,633.9,,2037.2,121.65,610.35,797.35,916.45,339.9,212.05,395.95,3019.55,787.35,686.25,808.85,862.65,1406.85,142.2,5052.95,265.95,97.95,,,4391.25,1632.75,603.45,2084.05,347.95,300.35,1443.05,239.0,,1904.85,481.9
2013-06-12,144.35,4490.8,1276.6,1744.15,1460.15,624.8,362.95,277.95,684.15,384.15,303.3,968.8,2179.25,3481.05,305.15,2783.85,762.55,664.8,,1610.5,92.4,593.65,820.9,1081.25,332.0,260.65,495.7,2423.95,674.35,745.9,1397.3,953.9,1479.1,151.15,5142.05,309.45,107.85,,,4630.1,2010.05,981.0,1467.85,293.25,274.15,976.3,204.9,,1840.15,344.65
2000-10-12,,219.8,33.4,,28.3,,,,709.8,786.75,,,1332.35,23.95,41.25,174.8,947.2,239.3,,904.15,808.7,192.85,450.3,122.85,745.75,122.2,16.85,6840.0,5.25,71.0,163.95,160.95,,,520.6,102.0,,,,22.65,168.35,433.5,,77.7,87.1,,49.5,,,2326.55
2018-07-04,360.25,1291.55,514.3,2978.2,2331.95,6033.1,368.05,366.45,6300.85,629.25,264.15,1099.9,2310.55,28256.75,349.3,966.1,925.4,2103.0,,3468.45,224.0,1676.15,1922.85,273.2,264.45,155.3,1974.9,1344.6,312.0,1366.35,1259.4,898.5,9220.8,153.0,9866.8,155.95,183.0,,,15937.25,257.5,579.05,1869.65,267.0,568.9,653.05,887.4,,3789.2,262.75
