,"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 25-Jan-2024"
64,CANBK,98.15,98.68,96.41,98.15,96.70,-,-1.45,-1.48,"1,26,10,574",122.88,128.90,87.79,-3.78,-79.21
65,DIVISLAB,"5,850.00","5,900.40","5,707.30","5,850.95","5,764.00",-,-86.95,-1.49,"3,87,486",224.39,"6,285.45","3,350.00",-0.34,61.02
66,RELIANCE,"1,266.00","1,273.00","1,243.50","1,263.65","1,244.45",-,-19.2,-1.52,"1,42,35,970","1,782.71","1,608.80","1,201.50",1.93,-53.95
67,CHOLAFIN,"1,247.50","1,252.35","1,215.65","1,246.05","1,224.50",-,-21.55,-1.73,"11,18,698",137.79,"1,652.00","1,011.20",3.17,-1.74
68,ONGC,262.99,265.64,255.75,263.05,258.25,-,-4.8,-1.82,"63,06,281",163.53,345.00,223.00,7.35,9.60
69,BANKBARODA,228.36,230.01,224.60,229.16,224.97,-,-4.19,-1.83,"74,98,269",170.44,299.70,216.35,-8.06,-0.81
70,LICI,839.50,839.90,820.00,837.25,821.60,-,-15.65,-1.87,"5,29,524",43.84,"1,222.00",806.85,-7.79,-9.10
71,HAL,"3,940.00","3,974.05","3,836.25","3,922.55","3,848.45",-,-74.1,-1.89,"11,49,113",446.69,"5,674.75","2,820.00",-8.69,32.58
72,BOSCHLTD,"30,900.00","31,113.50","30,240.00","30,990.50","30,395.00",-,-595.5,-1.92,"15,495",47.39,"39,088.80","22,315.20",-11.77,33.26
73,PIDILITIND,"2,909.65","2,943.00","2,841.00","2,909.65","2,853.50",-,-56.15,-1.93,"3,00,150",86.44,"3,415.00","2,503.25",-3.88,10.21
74,NHPC,78.40,78.81,76.75,78.46,76.93,-,-1.53,-1.95,"83,28,267",64.60,118.40,72.15,-6.3,-7.71
